Country,GDP Per Capita
Uruguay,16437.24487
United States,59927.92983
Uzbekistan,1826.566919
St. Vincent and the Grenadines,7212.960181
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),35938.02439
Vietnam,2365.621666
Vanuatu,3082.356323
World,10777.61827
Samoa,4258.486292
Kosovo,3948.05267
"Yemen, Rep.",963.494721
South Africa,6132.479841
Zambia,1534.865371
Zimbabwe,1602.403507
